#seq_name	length	coverage	circular	repeat	mult	telomere	alt_group	graph_path
contig_2	1953	4	N	N	1	both	*	2
contig_3	2240	3	N	N	1	both	*	3
contig_4	9558	3	N	N	1	both	*	4
contig_5	2321	5	N	N	1	both	*	5
contig_6	2596	3	N	N	1	both	*	6
contig_7	3699	5	N	N	1	both	*	7
contig_8	1610	3	N	N	1	both	*	8
contig_10	5758	6	N	N	1	both	*	9,10,-9
contig_11	6456	3	N	N	1	both	*	11
contig_12	528	5	N	N	1	both	*	12
contig_13	5912	3	N	N	1	both	*	13
contig_16	19752	34	N	N	4	none	*	-1996,-66,-62,16,19,-17,-18,18,-18
contig_21	4930	44	N	N	6	both	*	21
contig_22	3101	23	N	N	3	both	*	22
contig_25	4513	6	N	N	1	none	*	25,-23,24,23
contig_26	1266	3	N	N	1	both	*	26
contig_27	5529	3	N	N	1	both	*	27
contig_28	4618	4	N	N	1	both	*	28
contig_29	2600	3	N	N	1	both	*	29
contig_31	2491	4	N	N	1	both	*	31
contig_32	2641	4	N	N	1	both	*	32
contig_33	2197	5	N	N	1	both	*	33
contig_35	2639	7	N	N	1	both	*	35
contig_36	3374	4	N	N	1	both	*	36
contig_38	1393	3	N	N	1	both	*	38
contig_39	3371	7	N	N	1	both	*	39
contig_40	1460	3	N	N	1	both	*	40
contig_41	2724	28	N	N	4	both	*	41
contig_42	2696	11	N	N	1	both	*	42
contig_43	2633	3	N	N	1	both	*	43
contig_44	3077	5	N	N	1	both	*	44
contig_45	4967	23	N	N	3	both	*	-47,45,47
contig_46	1896	5	N	N	1	both	*	46
contig_48	3477	4	N	N	1	both	*	48
contig_49	5803	8	N	N	1	both	*	49
contig_50	1180	4	N	N	1	both	*	50
contig_51	3573	4	N	N	1	both	*	51
contig_56	5877	27	N	N	3	none	*	53,-53,56,226,-226
contig_57	4638	5	N	N	1	both	*	57
contig_58	1922	4	N	N	1	both	*	58
contig_59	4502	3	N	N	1	both	*	59
contig_60	1017	4	N	N	1	both	*	60
contig_61	1035	11	N	N	1	both	*	61
contig_67	3384	3	N	N	1	both	*	67
contig_68	5462	3	Y	N	1	none	*	68
contig_69	6790	4	N	N	1	both	*	69
contig_70	2721	3	N	N	1	both	*	70
contig_71	1885	8	N	N	1	both	*	71
contig_72	3150	11	N	N	1	both	*	72
contig_75	5464	12	N	N	2	none	*	74,75,-74,-74
contig_76	1632	7	N	N	1	both	*	76
contig_79	4936	5	N	N	1	both	*	78,79,-78
contig_80	2143	3	N	N	1	both	*	80
contig_81	4328	4	N	N	1	both	*	81
contig_82	1294	10	N	N	1	both	*	82
contig_85	2753	10	N	N	1	both	*	-83,-83,85,83
contig_86	2229	4	N	N	1	both	*	86
contig_87	4552	6	N	N	1	both	*	87
contig_88	1620	4	N	N	1	both	*	88
contig_89	4159	19	N	N	2	both	*	89
contig_92	3478	5	N	N	1	both	*	92
contig_96	1241	19	N	N	2	both	*	96
contig_97	1419	18	N	N	2	both	*	97
contig_98	3402	26	N	N	3	both	*	-94,-95,98,95,93
contig_99	1711	4	N	N	1	both	*	99
contig_100	7004	6	N	N	1	both	*	100
contig_101	2790	4	N	N	1	both	*	101
contig_102	4560	3	N	N	1	both	*	102
contig_103	5508	3	N	N	1	both	*	103
contig_107	11458	7	N	N	1	both	*	107
contig_108	1005	5	N	N	1	both	*	108
contig_112	1554	3	N	N	1	both	*	112
contig_113	2376	3	N	N	1	both	*	113
contig_114	2531	3	N	N	1	both	*	114
contig_115	1640	12	N	N	2	both	*	115
contig_121	5961	9	N	N	1	none	*	-120,-116,-118,-119,121,116,120
contig_123	1999	6	N	N	1	both	*	123
contig_124	2619	3	N	N	1	both	*	124
