#seq_name	length	coverage	circular	repeat	mult	telomere	alt_group	graph_path
contig_2	571	9	N	N	1	both	*	2
contig_3	3466	29	N	N	3	both	*	3
contig_5	1060	8	N	N	1	both	*	5
contig_6	3235	3	N	N	1	both	*	6
contig_13	740	4	N	N	1	both	*	13
contig_14	2064	3	N	N	1	both	*	14
contig_16	7404	41	N	N	4	none	*	-15,15,16,-19,-18,18,19
contig_17	1306	4	N	N	1	both	*	17
contig_20	3240	11	N	N	1	both	*	20
contig_21	8225	13	N	N	1	both	*	21
contig_22	9031	7	N	N	1	both	*	22
contig_23	1251	5	N	N	1	both	*	23
contig_24	7797	3	N	N	1	both	*	24
contig_25	7624	6	Y	N	1	none	*	25
contig_27	4311	3	N	N	1	both	*	15403,27,-15403
contig_28	2439	8	N	N	1	both	*	28
contig_29	5309	7	N	N	1	both	*	29
contig_30	7648	4	N	N	1	both	*	30
contig_31	9773	6	N	N	1	both	*	31
contig_32	1371	6	N	N	1	both	*	32
contig_33	1076	5	N	N	1	both	*	33
contig_34	2364	4	N	N	1	both	*	34
contig_35	1217	3	N	N	1	both	*	35
contig_36	1130	5	N	N	1	both	*	36
contig_51	7805	5	N	N	1	both	*	51
contig_52	1588	6	N	N	1	both	*	52
contig_53	693	23	N	N	2	both	*	53
contig_54	1650	15	N	N	1	both	*	54
contig_58	6617	9	N	N	1	both	*	56,56,55,56,55,57,58,-57,-55,-56,-55,-56,-56
contig_59	2212	3	N	N	1	both	*	59
contig_60	3124	3	N	N	1	both	*	60
contig_61	2197	10	N	N	1	both	*	61
contig_62	1585	23	N	N	2	both	*	62
contig_63	2547	4	N	N	1	both	*	63
contig_65	2372	16	N	N	1	none	*	64,65
contig_66	1204	3	N	N	1	both	*	66
contig_67	2581	7	N	N	1	both	*	67
contig_68	5062	8	N	N	1	left	*	68,70,-72,-15406
contig_69	2002	8	N	N	1	none	*	-70,69,70
contig_73	9357	13	N	N	1	both	*	73
contig_75	5969	7	N	N	1	both	*	75
contig_76	4684	6	N	N	1	both	*	15407,76,-15407
contig_77	1038	30	N	N	3	both	*	77
contig_78	4571	13	N	N	1	both	*	78
contig_86	4478	9	N	N	1	both	*	86
contig_87	9517	16	N	N	1	both	*	87
contig_88	5414	7	N	N	1	both	*	88
contig_90	2112	3	N	N	1	both	*	90
contig_97	2858	5	N	N	1	both	*	97
contig_98	6711	6	N	N	1	both	*	98
contig_99	3713	3	N	N	1	both	*	99
contig_102	3725	8	N	N	1	both	*	102
contig_103	5839	6	N	N	1	both	*	-101,-100,103,100,101
contig_104	2874	3	N	N	1	both	*	104
contig_105	2279	3	N	N	1	both	*	105
contig_109	14486	37	N	N	3	none	*	-108,106,109,-12212,-12213,12212,-12211
contig_110	5979	23	N	N	2	both	*	110
contig_112	3774	15	N	N	1	none	*	-111,112,-12244
contig_113	1839	5	N	N	1	both	*	113
contig_114	1306	11	N	N	1	both	*	114
contig_115	1978	6	N	N	1	both	*	115
contig_117	1068	7	N	N	1	both	*	117
contig_118	3405	4	N	N	1	both	*	118
contig_121	4653	14	N	N	1	both	*	119,119,119,121,-120
contig_122	1321	3	N	N	1	both	*	122
contig_123	618	16	N	N	1	both	*	123
contig_125	1692	3	N	N	1	both	*	125
contig_126	1480	4	N	N	1	both	*	126
contig_127	7048	15	N	N	1	both	*	-128,127,128
contig_129	2953	6	N	N	1	both	*	129
contig_130	3608	9	N	N	1	both	*	130
contig_131	1714	3	N	N	1	both	*	131
contig_132	4622	16	N	N	1	both	*	132
contig_133	1584	7	N	N	1	both	*	133
contig_136	3024	58	N	N	5	none	*	135,136,5674,5671,-5672
contig_137	2825	4	N	N	1	both	*	137
contig_139	1509	3	N	N	1	both	*	139
contig_140	2851	6	N	N	1	both	*	140
contig_142	12057	4	N	N	1	none	*	141,142,-141
contig_144	4763	3	N	N	1	both	*	144
contig_145	2812	3	N	N	1	both	*	145
contig_146	1567	5	N	N	1	both	*	146
contig_147	3133	3	N	N	1	both	*	147
contig_148	2172	39	N	N	4	both	*	148
contig_151	1823	8	N	N	1	both	*	151
contig_152	1501	17	N	N	2	both	*	152
contig_153	1947	4	N	N	1	both	*	153
contig_155	684	9	N	N	1	both	*	155
contig_156	3329	20	N	N	2	both	*	156
contig_157	3165	3	N	N	1	both	*	157
contig_160	12403	17	N	N	2	none	*	4074,4072,-161,158,159,-159,-158,161,4074,4072,-161,158,160,-4072,-4072
contig_169	3368	5	N	N	1	both	*	169
contig_170	3963	5	N	N	1	both	*	166,168,170,-168,-166
contig_173	1010	59	N	N	5	both	*	173
contig_175	1235	4	N	N	1	both	*	175
contig_176	3968	6	N	N	1	both	*	176
contig_177	1130	8	N	N	1	both	*	177
contig_178	9664	40	N	N	4	right	*	182,-181,-180,-179,178,-8229,-8230
contig_185	2498	3	N	N	1	both	*	185
contig_186	2504	5	N	N	1	both	*	186
contig_187	7680	12	N	N	1	both	*	187
contig_188	16213	12	N	N	1	both	*	188
contig_189	1202	4	N	N	1	both	*	189
contig_202	2834	14	N	N	1	both	*	202
contig_206	1258	24	N	N	2	both	*	206
contig_207	3169	21	N	N	2	both	*	207
contig_208	2556	20	N	N	2	both	*	208
contig_209	658	78	N	N	7	both	*	209
contig_213	4253	3	N	N	1	both	*	213
contig_214	6788	7	N	N	1	both	*	214
contig_219	5601	35	N	N	3	both	*	219
contig_221	11113	13	N	N	1	both	*	221
contig_234	4254	4	N	N	1	right	*	-222,234,-383
contig_235	15402	4	N	N	1	both	*	235
contig_237	4977	3	N	N	1	both	*	237
contig_238	1652	3	N	N	1	both	*	238
contig_239	7122	9	N	N	1	none	*	239,4306,4309
contig_240	2116	31	N	N	3	none	*	-222,240,-4427
contig_241	2953	7	N	N	1	both	*	241
contig_242	4032	12	N	N	1	right	*	242,-16036,-16036
contig_243	7437	4	Y	N	1	none	*	243
contig_244	3233	3	N	N	1	both	*	244
contig_245	2287	3	N	N	1	both	*	245
contig_246	5205	6	N	N	1	both	*	246
contig_247	10631	4	N	N	1	both	*	247
contig_248	4932	7	N	N	1	both	*	248
contig_249	8224	5	N	N	1	both	*	249
contig_250	10278	4	N	N	1	both	*	250
contig_252	4952	14	N	N	1	none	*	-233,252,-15423
contig_253	3655	3	N	N	1	both	*	253
contig_254	2768	7	N	N	1	both	*	254
contig_255	5147	4	Y	N	1	none	*	255
contig_256	3870	3	N	N	1	both	*	256
contig_257	2927	8	N	N	1	both	*	257
contig_258	2669	11	N	N	1	both	*	258
contig_266	1673	20	N	N	2	both	*	266
contig_267	1925	3	N	N	1	both	*	267
contig_269	5080	5	N	N	1	both	*	-268,269,268
contig_270	1397	24	N	N	2	both	*	270
contig_271	16834	31	N	N	3	both	*	3562,271,-15735
contig_273	2315	7	N	N	1	both	*	273
contig_274	1376	5	N	N	1	both	*	274
contig_275	8045	11	N	N	1	both	*	275
contig_276	13660	7	N	N	1	both	*	276
contig_277	5265	48	N	N	4	left	*	15425,277,278,279,-279,-278
contig_283	1247	5	N	N	1	both	*	283
contig_284	1486	3	N	N	1	both	*	284
contig_285	3771	7	N	N	1	both	*	285
contig_288	4649	6	N	N	1	none	*	287,-286,288,286,287
contig_289	2661	41	N	N	4	both	*	289
contig_290	4298	5	N	N	1	both	*	290
contig_291	3201	3	N	N	1	both	*	291
contig_304	3152	21	N	N	2	both	*	304
contig_325	5619	12	N	N	1	none	*	308,-308,325,519,520
contig_326	1959	44	N	N	4	both	*	326
contig_328	1314	30	N	N	3	both	*	328
contig_329	1198	15	N	N	1	both	*	329
contig_330	6614	23	N	N	2	both	*	330
