#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_3849	34268	67	N	N	6	*	-10989,10989,-10990,10989,3849,*
contig_7105	27802	42	N	N	4	*	-7410,-7106,7101,-7104,7102,-7102,7104,-7101,7106,7410,-7411,-7411,-7410,-7106,7101,7102,-7103,7105,8692,8697,8696,8693,8694,8695,-8695,-8694,-8693,-8696,-8692,-8698,8692,8697,8696,8693,8694
contig_4005	27315	28	N	N	2	*	*,4005,7857,7858,-7857
contig_4158	26686	67	N	N	7	*	13627,-13625,-13624,-13622,4158,-4793
contig_422	24557	64	N	N	7	*	*,422,423,428,-430,-427,-426
contig_1584	24447	41	N	N	4	*	1579,1584,*
contig_5011	24025	47	N	N	4	*	5010,-5010,5010,-5010,-5010,5010,-5010,5011,*
contig_9101	21884	20	N	N	1	*	*,9101,9103,9105,-9105,-9103,9108,-9108,9103,9105,-9105,-9103
contig_350	21036	23	N	N	1	*	-625,624,625,-625,-624,625,350,-15426
contig_1475	20923	20	N	N	2	*	*,1475,*
contig_340	20780	77	N	N	5	*	316,340,*
contig_5341	20660	60	N	N	5	*	*,5341,*
contig_1441	20079	24	N	N	1	*	-1439,1439,1441,*
contig_2148	19815	107	N	N	8	*	-8894,8894,-8894,-8892,2148,-4234
contig_1766	19381	82	N	N	5	*	*,1766,*
contig_12161	19286	22	N	N	4	*	*,12161,*
contig_1198	19225	80	N	N	6	*	-1204,1199,1200,1201,1201,1201,1201,1202,-1202,-1201,-1201,-1201,-1201,-1200,-1199,-1197,1196,1194,1195,1198,-3836,-3833,-3831
contig_926	18610	14	N	N	3	*	*,926,*
contig_2675	18537	41	N	N	2	*	*,2675,*
contig_3473	18511	91	N	N	7	*	3473,-14046
contig_4548	18085	20	N	N	4	*	*,4548,*
contig_5712	17969	14	N	N	3	*	*,5712,*
contig_7789	17909	58	N	N	6	*	*,7789,*
contig_4026	17605	51	N	N	4	*	4026,6757,6758,6761
contig_5815	17594	55	N	N	5	*	5814,5815,12093,12095,-12096,-12092
contig_10717	17481	49	N	N	5	*	*,10717,*
contig_12278	17130	50	N	N	4	*	*,-12275,-16603,12277,12278,12901
contig_1323	17124	45	N	N	5	*	*,1323,*
contig_1940	16837	15	N	N	1	*	1942,1940,1942,1943,-1942
contig_11848	16696	27	N	N	3	*	*,11848,*
contig_801	16598	83	N	N	5	*	*,801,*
contig_2236	16472	55	N	N	3	*	*,2236,*
contig_4436	16336	53	N	N	3	*	-4435,-4434,4436,*
contig_12185	16316	47	N	N	3	*	-7970,7971,12185,-7971,-7969
contig_12607	16315	19	N	N	1	*	*,12607,*
contig_2627	16295	89	N	N	7	*	-2626,2626,-2626,2626,2627,-6092,-6093,6088
contig_1238	16277	118	N	N	9	*	-1474,-1471,-1471,1471,1471,1474,1238,3888
contig_8009	16239	22	N	N	2	*	*,8009,*
contig_15978	16212	30	N	N	3	*	*,5929,15978,-5929,-5928,*
contig_612	16074	73	N	N	7	*	-609,-611,608,609,-610,612,3913,*
contig_3789	16023	16	N	N	1	*	*,-3791,-3790,-3791,-3790,3789,3790,3791,3790,*
contig_15451	16013	18	N	N	3	*	*,15451,*
contig_7459	15989	64	N	N	4	*	7451,-7452,7459,-3443,-3442,-3443,-3442,*
contig_15848	15855	24	N	Y	4	*	15848,*
contig_7177	15765	37	N	N	4	*	-7174,7171,7175,7177,7179
contig_2602	15725	60	N	N	6	*	2602,-6540
contig_1335	15670	21	Y	Y	1	*	1335
contig_13126	15581	19	N	N	1	*	*,13126,*
contig_8290	15515	70	N	N	6	*	8290,*
contig_9665	15421	29	N	N	5	*	*,9665,*
contig_12524	15356	14	N	N	2	*	*,12524,*
contig_1536	15350	31	N	N	2	*	*,-5622,-5621,1536,3071
contig_13472	15209	26	N	N	3	*	*,13472,-14120
contig_235	15160	15	N	N	3	*	*,235,*
contig_4696	15156	22	N	N	2	*	*,4696,*
contig_6127	15135	60	N	N	6	*	*,6127,*
contig_271	14948	63	N	N	5	*	*,3562,271,-15735,*
contig_5135	14947	58	N	N	6	*	*,5135,*
contig_958	14915	31	N	N	3	*	*,958,*
contig_2886	14911	39	N	N	3	*	2884,-2885,-2884,2887,11387,11388,11389,-11389,-11388,-11387,-2887,2884,2885,2886,-11134,11134
contig_14386	14901	22	N	N	2	*	*,14386,*
contig_1777	14897	68	N	N	6	*	1768,1773,-1770,-1768,1777,16992,*
contig_15903	14859	55	N	N	5	*	*,16864,15903,-5177,5178,-5179,5177
contig_6573	14742	31	N	N	3	*	*,6573,*
contig_2094	14697	44	N	N	4	*	*,2094,*
contig_738	14650	122	N	N	9	*	*,738,*
contig_9635	14641	16	N	N	2	*	*,9635,*
contig_1163	14558	52	N	N	4	*	-1164,-1158,-1154,1153,-1149,1149,-1153,1163,-3498
contig_10546	14461	45	N	N	4	*	-13785,-13784,13784,13785,10546,13764
contig_9168	14398	26	N	N	1	*	*,9168,*
contig_12884	14372	38	N	Y	3	*	12884
contig_7890	14361	104	N	N	9	*	*,7890,*
contig_7830	14339	89	N	N	6	*	*,-7828,7830,-5580
contig_188	14335	35	N	N	2	*	*,188,*
contig_7094	14201	39	N	N	2	*	*,7094,*
contig_1723	14196	72	N	N	6	*	1719,-1719,1719,-1719,1719,1720,1721,1721,1723,-1724,1724
contig_12248	14154	21	N	N	2	*	*,12248,*
contig_15845	14146	40	N	N	5	*	*,15845,*
contig_13958	14039	13	N	N	3	*	*,13958,*
contig_4681	14026	116	N	N	9	*	*,4681,*
contig_1843	13997	57	N	N	5	*	-1841,1840,-1840,1841,-1841,1840,-1840,1841,1843,1921,-1923,-1922,1923,-1921,-1920,1920,1921,-1923,1922
contig_10310	13937	19	N	N	3	*	*,10310,*
contig_8220	13847	19	N	N	3	*	*,7546,8220,-8221
contig_2739	13795	58	N	N	3	*	2732,2732,2733,-2735,2734,2734,2739,-2740,2740,-2740,2740,-2740,2740
contig_346	13684	30	N	N	5	*	*,346,*
contig_492	13661	55	N	N	5	*	491,492,9558
contig_2554	13616	43	N	N	2	*	-2558,-2557,2554,2557,2559,2561,15646
contig_2625	13580	85	N	N	8	*	-5957,5956,-1457,1457,-5956,5957,-5957,5956,-1457,1452,1453,-1455,2625,-10485,10488
contig_7893	13578	39	N	Y	3	*	7893
contig_4659	13538	18	Y	N	3	*	4659
contig_5682	13525	16	N	N	2	*	*,5682,*
contig_7705	13499	41	Y	N	3	*	7705
contig_5140	13485	13	N	N	3	*	-5139,-5138,5140,5138,5139
contig_4172	13478	102	N	N	9	*	*,4172,*
contig_4724	13477	24	N	N	2	*	4728,4724,4730,4731,4732
contig_14257	13475	17	N	N	1	*	*,16863,14257,-16863,*
contig_357	13473	107	N	N	9	*	-5609,-5613,-5612,-5611,-5610,-5610,5608,-5609,-5613,357,-7151,7151
contig_7129	13452	49	N	N	4	*	12410,7129,-7584,-7583,7583,7584,-7584,-7583,7583,7584
contig_16612	13427	55	N	N	6	*	*,16612,*
contig_7358	13364	26	N	N	2	*	*,7358,*
contig_8673	13336	32	N	N	2	*	*,8673,*
contig_4990	13306	63	N	N	4	*	-16320,-9429,-9431,9433,4990,-4991,4991
contig_12746	13305	21	N	Y	7	*	12746
contig_7426	13289	17	N	N	1	*	7425,7423,7424,7426,-7424,-7425
contig_2298	13274	41	N	N	2	*	*,-3820,-3820,2298,2790,2788,2788,2789,2789,-2791,-2563
contig_10872	13259	38	N	N	3	*	*,10872,*
contig_3428	13256	64	N	N	4	*	*,-14666,3428,3429,3431,3432,-4516,4517
contig_1678	13210	81	N	N	8	*	-1674,1674,-1676,1676,-1676,1676,-1674,1678,11658,11658,*
contig_276	13200	39	N	N	4	*	*,276,*
contig_8867	13173	54	N	Y	5	*	8867
contig_15404	13118	68	N	N	4	*	*,15404,*
contig_2375	13114	45	N	N	4	*	*,2375,*
contig_13235	13103	20	N	N	4	*	*,13235,*
contig_3941	13086	41	N	N	4	*	*,3941,3944,3944,3944,-3441,-3439,3441,-3944,-3944,-3944
contig_6324	13057	23	N	N	2	*	*,6324,*
contig_15775	13039	38	N	N	3	*	*,15775,*
