#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_6822	32479	24	N	N	2	*	*,6822,6828,-6827,-6825,-6824
contig_1535	29528	21	N	N	1	*	-1527,-1526,1529,1530,1532,1532,1533,-1531,1531,-1533,-1532,-1532,-1530,-1528,1534,1535,13499,13500,13501,13502,13502,13503,13503,-13506,-13503,-13503,-13503,-13502,-13501,-13500,-13499
contig_1676	26869	34	N	N	3	*	*,1676,1421
contig_1	25158	42	N	N	3	*	*,-15289,1,2,-4
contig_2520	22574	30	N	N	3	*	*,2520,-8804,-8803,*
contig_11800	22236	16	N	N	2	*	11797,11798,11800,*
contig_1621	21990	68	N	N	4	*	*,1621,8463
contig_4115	20191	93	N	N	6	*	-4114,4114,4115,-10029,*
contig_970	19864	41	N	N	2	*	*,968,970,*
contig_4004	19740	66	Y	N	6	*	4004
contig_10400	19724	35	N	Y	2	*	10400
contig_7992	19660	21	N	N	3	*	*,7992,*
contig_1505	19202	53	N	N	5	*	-1499,-1500,-1502,1500,1499,1505,-16680,*
contig_31	19166	98	N	N	7	*	15063,31,-9451,9451,9452
contig_11553	18933	35	N	N	2	*	*,11553,*
contig_1214	18848	126	N	N	11	*	-1211,-1211,-1213,1213,1211,1211,1214,15509,*
contig_397	18493	97	N	N	8	*	395,395,395,395,395,398,4225,4227,397,-3257
contig_5311	18312	30	N	N	3	*	7427,7428,7429,5311,-16317
contig_1850	18192	29	N	Y	2	*	1850,*
contig_36	17975	35	N	N	2	*	390,-37,33,33,34,-35,36,15064
contig_1015	17783	72	N	N	6	*	*,1015,*
contig_6684	17690	96	N	N	8	*	-15779,-6682,-15779,-6682,6684,-13611,-13608
contig_9654	17651	60	N	N	3	*	*,9654,*
contig_5629	17527	21	N	N	3	*	*,5629,-9258
contig_6301	17416	70	N	N	7	*	12479,6301,-6302,6302
contig_9510	17315	18	N	N	2	*	*,9510,*
contig_703	17185	20	N	N	2	*	12296,12299,12300,12301,-12301,-12300,-12299,-12296,703,-702,*
contig_12822	17141	20	N	N	2	*	*,12822,*
contig_7374	17081	62	N	N	4	*	*,7374,*
contig_2873	16377	49	N	N	4	*	-4499,4500,4499,2873,11029
contig_4147	16138	22	N	N	3	*	*,4147,*
contig_11042	15671	28	N	N	2	*	*,11042,*
contig_4701	15663	41	N	N	3	*	*,4701,*
contig_1276	15650	37	N	Y	2	*	1276
contig_5642	15627	21	N	N	3	*	*,5642,*
contig_1454	15613	74	N	N	5	*	*,1454,*
contig_10874	15480	7	N	N	1	*	-12978,-12978,10874,-12978
contig_8224	15382	45	N	N	3	*	-94,90,91,-93,-8223,-8221,8224,12178,*
contig_12598	15355	19	N	N	4	*	*,12598,*
contig_5630	15349	40	N	N	4	*	*,5630,*
contig_106	15304	30	N	N	2	*	5016,-5016,5016,-5016,106,-5015,-5012,-5013
contig_13928	15296	20	Y	N	2	*	13928
contig_6967	15178	12	N	N	2	*	*,6967,*
contig_73	15109	61	N	N	5	*	71,-68,-67,70,73,79,-80
contig_282	15011	69	N	N	6	*	-280,279,282,8598
contig_16404	14974	19	N	N	1	*	*,16404,*
contig_15836	14935	61	N	N	5	*	7182,15836,12305,12306,-6509,6506,6508,-6504,6504,-6508,-6506,6509,-12306,-12305,12305,12306,-6509,6506,6508
contig_9968	14933	57	N	N	5	*	-12330,9968,-2415,*
contig_6738	14816	20	N	N	2	*	*,6738,*
contig_13677	14571	23	N	N	1	*	-13674,-13676,13674,-13675,-13676,13674,13676,-13676,-13674,13676,13677,13678,13680,-13680,-13678,13678,13680,-13680,-13681
contig_8575	14498	29	Y	N	2	*	8575
contig_15882	14461	26	N	N	2	*	-7569,15882,-12287,-12286,-12285,12285,12289,-12287,-12286,12285
contig_12099	14414	19	N	N	3	*	*,12099,*
contig_13977	14390	21	N	N	3	*	*,13977,*
contig_1607	14372	112	N	N	10	*	*,1607,*
contig_5882	14242	47	N	N	4	*	*,-5881,-5881,-5881,5882,*
contig_15077	14131	70	N	N	4	*	*,15077,*
contig_16591	14053	12	Y	Y	4	*	16591
contig_16308	14044	65	Y	N	4	*	16308
contig_6010	13997	10	N	N	2	*	*,6010,*
contig_659	13980	54	N	N	4	*	*,659,*
contig_2677	13948	19	N	N	1	*	*,2677,-2678,-2678,-2676,*
contig_4494	13942	30	N	N	3	*	*,-4495,4494,4495,*
contig_2562	13917	20	N	N	1	*	*,2562,*
contig_13537	13862	17	N	N	2	*	*,13537,*
contig_962	13809	101	N	N	9	*	-3123,962,*
contig_4536	13771	18	Y	N	2	*	4536
contig_301	13769	67	N	N	7	*	*,301,*
contig_3422	13732	36	N	N	3	*	-10306,10304,3422,-10308,10308
contig_11979	13725	21	N	N	3	*	*,11979,*
contig_776	13652	41	N	N	4	*	1972,-1972,776
contig_5067	13647	44	N	N	3	*	*,5067,*
contig_6127	13647	38	N	N	2	*	-6125,6125,6127,16694,*
contig_5802	13588	95	N	N	7	*	-6449,-6449,5802,5804,5805,5806,-5808,5808,-5806,5809,-5805
contig_8717	13565	47	N	N	5	*	*,8717,*
contig_822	13461	23	N	N	1	*	*,15143,822,16393
contig_14317	13397	17	N	N	4	*	*,14317,*
contig_9055	13387	11	N	N	1	*	*,-16060,9055,-12846,-12846,-12846,-12846,*
contig_16644	13385	14	Y	N	2	*	16644
contig_6670	13337	27	N	N	1	*	-6667,6666,6667,6667,6670,5708,-5710,5710,-5708
contig_7347	13311	53	N	N	5	*	*,7347,*
contig_11290	13278	24	N	N	3	*	*,11290,*
contig_1120	13238	43	N	N	3	*	-1118,1120,-5022
contig_9238	13212	22	N	N	2	*	9241,9243,-9244,9244,-9243,-9241,9238,9239
contig_2002	13192	51	N	N	4	*	*,2002,*
contig_4964	13176	111	N	Y	10	*	4964
contig_7344	13170	58	N	N	4	*	*,15857,7342,15857,7344,4261
contig_9724	13168	25	N	N	2	*	9721,9721,9720,9720,9724,-9723
contig_7882	13162	23	N	N	3	*	*,7882,*
contig_170	13115	30	N	N	3	*	-173,-171,170,*
contig_5099	13077	83	N	N	8	*	*,5098,5098,5099,8667,8668,-8668,-8667
contig_8544	13041	35	N	N	2	*	9286,9284,8544,-9290
contig_4169	13026	63	N	N	3	*	15872,4169,-15872
contig_509	13023	23	N	N	2	*	510,509,*
contig_2014	13004	22	N	N	2	*	*,2015,8587,-8589,2014,-2013,*
contig_4774	12952	22	N	N	1	*	*,4774,*
contig_11200	12919	38	N	N	2	*	*,11200,*
contig_2474	12835	76	N	N	5	*	-2473,2475,-2477,-2476,2476,2477,-2475,2473,2474,-9075
contig_13751	12833	34	N	N	5	*	*,13751,*
contig_4315	12817	55	N	N	4	*	*,-4314,-9861,-9860,-9859,-9858,4315,4316,-4316,4316,-4316
contig_11804	12794	17	N	N	2	*	9807,12376,-11803,-11802,11804,11802,11803,-12376,-9807
contig_6557	12791	24	N	N	2	*	*,6557,-8255,8253,-8253,8255
contig_13422	12747	36	N	N	4	*	*,13422,*
contig_9474	12742	15	N	N	2	*	*,9474,*
contig_8754	12701	29	N	Y	3	*	8754
contig_5772	12681	37	N	N	2	*	*,5772,*
contig_8355	12669	32	N	N	2	*	*,8355,*
contig_4055	12635	47	N	N	3	*	*,4055,*
contig_6785	12634	20	N	N	2	*	6783,6785,-6784,-6783
contig_16312	12619	45	N	N	2	*	-13324,16312,14911
contig_10293	12617	37	N	N	2	*	-10294,-10295,-10294,-10295,10293,10294,10295
contig_12160	12612	35	N	N	3	*	*,12160,*
contig_12502	12597	18	N	N	3	*	*,12502,*
contig_2081	12537	55	N	N	4	*	2083,2085,-2085,-2083,2081,4744,4745
contig_2365	12520	14	N	N	3	*	*,2365,*
contig_3527	12520	29	N	N	5	*	*,3527,*
contig_6713	12515	18	N	N	1	*	*,6712,6713,14453
contig_14578	12510	20	N	N	2	*	*,14578,*
