#seq_name	length	coverage	circular	repeat	mult	telomere	alt_group	graph_path
contig_1	3686	3	N	N	1	both	*	1
contig_2	2807	3	N	N	1	both	*	2
contig_60	1558	4	N	N	1	both	*	60
contig_61	3140	4	N	N	1	both	*	61
contig_62	1867	5	N	N	1	both	*	62
contig_63	1288	34	N	N	1	both	*	63
contig_64	1041	3	N	N	1	both	*	64
contig_65	1528	6	N	N	1	both	*	65
contig_66	1636	4	N	N	1	both	*	66
contig_67	3039	3	N	N	1	both	*	67
contig_68	1511	3	N	N	1	both	*	68
contig_69	5504	3	N	N	1	both	*	69
contig_76	1680	3	N	N	1	both	*	76
contig_77	1955	6	N	N	1	both	*	77
contig_78	6358	3	N	N	1	both	*	78
contig_79	9989	4	N	N	1	both	*	80,80,79,-80,-80
contig_81	1710	4	N	N	1	both	*	81
contig_82	3209	3	N	N	1	both	*	82
contig_107	3207	3	N	N	1	both	*	107
contig_109	919	4	N	N	1	both	*	109
contig_110	3429	3	N	N	1	both	*	110
contig_111	2395	3	N	N	1	both	*	111
contig_112	2214	3	N	N	1	both	*	112
contig_114	8480	11	N	N	1	both	*	114
contig_119	1125	21	N	N	1	both	*	119
contig_120	3014	4	N	N	1	both	*	120
contig_121	4163	3	N	N	1	both	*	121
contig_122	5667	3	Y	N	1	none	*	122
contig_123	2583	3	N	N	1	both	*	123
contig_124	2227	3	N	N	1	both	*	124
contig_125	4070	3	N	N	1	both	*	125
contig_126	2220	3	N	N	1	both	*	126
contig_134	2255	3	N	N	1	both	*	134
contig_135	2633	17	N	N	1	both	*	135
contig_136	2464	3	N	N	1	both	*	136
contig_137	2069	3	N	N	1	both	*	137
contig_138	6910	5	N	N	1	both	*	138
contig_140	2530	16	N	N	1	none	*	139,140,-139
contig_145	1973	5	N	N	1	both	*	145
contig_154	12320	15	N	N	1	right	*	529,-530,154,148,148,149,150,153,149,148,148,149
contig_158	2271	3	N	N	1	both	*	158
contig_160	2523	3	N	N	1	both	*	160
contig_161	2525	5	N	N	1	both	*	161
contig_162	5129	5	N	N	1	both	*	162
contig_170	2480	3	N	N	1	both	*	170
contig_178	1013	3	N	N	1	both	*	178
contig_179	2464	3	N	N	1	both	*	179
contig_180	2222	3	N	N	1	both	*	180
contig_181	2599	4	N	N	1	both	*	181
contig_182	2208	3	N	N	1	both	*	182
contig_184	2711	3	N	N	1	both	*	184
contig_185	2269	10	N	N	1	both	*	185
contig_186	2427	3	N	N	1	both	*	186
contig_187	3939	3	N	N	1	both	*	187
contig_188	3966	3	N	N	1	both	*	188
contig_189	1458	3	N	N	1	both	*	189
contig_190	2565	3	N	N	1	both	*	190
contig_191	2308	3	N	N	1	both	*	191
contig_192	2353	3	N	N	1	both	*	192
contig_193	1489	4	N	N	1	both	*	193
contig_194	2415	3	N	N	1	both	*	194
contig_195	2281	3	N	N	1	both	*	195
contig_196	3004	3	N	N	1	both	*	196
contig_197	2272	3	N	N	1	both	*	197
contig_198	2287	3	N	N	1	both	*	198
contig_199	2339	3	N	N	1	both	*	199
contig_200	2412	3	N	N	1	both	*	200
contig_205	596	30	N	N	1	both	*	205
contig_206	5214	12	N	N	1	both	*	206
contig_207	1502	74	N	N	1	both	*	207
contig_208	1366	6	N	N	1	both	*	208
contig_209	1842	38	N	N	1	both	*	210,210,209
contig_211	2300	3	N	N	1	both	*	211
contig_212	2668	5	N	N	1	both	*	212
contig_213	2190	3	N	N	1	both	*	213
contig_214	2551	3	N	N	1	both	*	214
