#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_6535	21503	138	N	Y	138	*	*,6535
contig_16	18292	96	N	N	10	*	-1996,-66,-62,16,19,-17,-18,18,-18
contig_4997	16234	19	N	N	2	*	*,4997,*
contig_5071	15372	24	N	N	6	*	*,5071,*
contig_6023	15228	30	N	N	3	*	*,6023,*
contig_797	13822	32	N	N	4	*	*,797,*
contig_2190	13555	38	N	N	4	*	2625,2190,-5974
contig_3561	13258	23	N	N	3	*	*,3561,*
contig_3562	13220	22	N	N	3	*	*,3562,*
contig_4783	12946	18	N	N	4	*	*,4783,*
contig_3607	12841	22	N	N	5	*	*,3607,*
contig_3464	12390	12	N	N	3	*	*,3464,*
contig_978	12155	50	N	N	5	*	*,978,*
contig_4387	12137	20	N	N	3	*	*,4387,*
contig_5525	12026	22	N	N	4	*	*,5525,*
contig_5133	11973	20	N	N	4	*	*,5133,*
contig_2379	11553	18	N	N	2	*	*,2379,*
contig_3859	11523	20	N	N	3	*	*,3859,*
contig_1382	11448	11	N	N	2	*	*,1382,*
contig_6764	11349	37	N	N	4	*	*,6764,*
contig_2693	11342	19	N	N	4	*	*,2693,*
contig_5793	11119	12	N	N	3	*	*,5793,*
contig_1292	11030	26	N	N	2	*	*,3853,1292,-3853,-3851,*
contig_6302	10980	8	N	N	2	*	*,6302,*
contig_2378	10820	106	N	N	13	*	*,2378,*
contig_7142	10810	8	N	Y	4	*	*,7142
contig_4978	10805	18	N	N	2	*	*,4978,-4923
contig_5003	10794	35	N	N	4	*	*,5003,*
contig_530	10769	60	N	N	8	*	-528,-529,529,528,530,*
contig_4106	10728	31	N	N	4	*	4104,4106,-5933,5933,-5933,5933
contig_1069	10682	34	N	N	4	*	*,-7028,1069,1070,1070,*
contig_2763	10644	43	N	N	6	*	2763,2761,2762,-1752,1748,1752,-1752,-1748,1752,-2762,-2761,2761
contig_1068	10608	22	N	N	2	*	*,1068,*
contig_107	10585	28	N	N	3	*	*,107,*
contig_3748	10537	21	N	N	5	*	*,3748,*
contig_979	10508	22	N	N	4	*	*,979,*
contig_593	10506	39	N	N	3	*	*,593,*
contig_4026	10459	52	N	N	7	*	*,4026,*
contig_5655	10359	24	N	N	3	*	*,5655,*
contig_2204	10314	16	N	N	2	*	*,2204,*
contig_5279	10279	50	N	N	6	*	5279,-1763,1763
contig_6885	10273	10	N	N	2	*	*,6885,*
contig_6947	10193	23	N	N	5	*	3700,6947,*
contig_4865	10186	35	N	N	5	*	*,4865,*
contig_4195	10162	18	N	N	2	*	*,7033,4195,-7033,*
contig_6328	10136	19	N	N	3	*	*,6328,*
contig_3411	10114	185	N	Y	185	*	*,3411
contig_992	10111	71	N	N	10	*	*,-991,-989,992,4311,-4311
contig_5164	10076	21	N	N	3	*	*,5164,*
contig_3389	10070	45	N	N	4	*	6989,3389,4039
contig_5147	10023	20	N	N	4	*	*,5147,*
contig_5797	9930	20	N	N	3	*	*,5797,*
contig_1949	9862	28	N	N	4	*	*,1948,1949,-1948,*
contig_7250	9849	32	Y	N	3	*	7250
contig_616	9829	13	N	N	2	*	-614,616,614,-617
contig_6725	9755	21	N	N	5	*	*,6725,*
contig_769	9736	19	N	N	2	*	*,769,*
contig_1551	9717	57	N	N	6	*	3965,1551,-3967,*
contig_238	9619	68	N	N	7	*	-227,-228,-218,-217,-221,-221,222,238,-4333,-4333,*
contig_1960	9618	20	N	N	4	*	*,1959,1960
contig_1108	9506	20	N	N	2	*	*,-6646,1108
contig_3497	9493	12	Y	N	3	*	3497
contig_5102	9491	43	N	N	3	*	*,5102,*
contig_2185	9474	18	N	N	2	*	*,2185,*
contig_4784	9431	15	N	N	3	*	*,4784,*
contig_2264	9389	27	Y	N	3	*	2264
contig_4446	9361	56	Y	N	5	*	4446
contig_5546	9360	19	N	N	4	*	*,5546,*
contig_4724	9332	38	N	N	7	*	*,4724,*
contig_2711	9322	6	N	N	1	*	2710,-2709,2711,2709,2709,2709,2709,2709,2709
contig_7018	9310	22	N	N	5	*	*,7018,*
contig_3670	9299	22	N	N	1	*	*,3670,*
contig_1588	9288	18	N	N	4	*	*,1588,*
contig_4981	9279	26	N	N	4	*	4981,4980
contig_5737	9275	29	N	N	4	*	*,5737,*
contig_6785	9254	8	N	Y	2	*	*,6785,*
contig_4197	9182	26	N	N	3	*	*,4197,*
contig_3304	9179	8	N	N	1	*	3303,-3302,3304,3302,-3303
contig_6816	9158	12	N	N	2	*	*,6816,*
contig_5605	9155	13	N	N	1	*	5604,5605,-5604
contig_4099	9124	20	N	N	5	*	*,4099,*
contig_6225	9124	18	N	N	4	*	*,6225,*
contig_5206	9106	12	N	N	3	*	*,5206,*
contig_4647	9105	20	N	N	2	*	*,4647,*
contig_5560	9087	377	N	N	41	*	*,5560,*
contig_4700	9042	39	N	N	7	*	*,4700,*
contig_6061	9005	13	N	N	3	*	*,6061,*
contig_5266	8991	12	N	N	2	*	*,5266,*
contig_3735	8979	29	N	N	4	*	*,3735,*
contig_1977	8945	87	N	N	10	*	*,1977,*
contig_3580	8933	20	N	N	2	*	*,3580,*
contig_2513	8923	7	N	N	1	*	*,2513,*
contig_2846	8890	42	N	N	6	*	*,2846,*
contig_2079	8886	29	N	N	4	*	*,2079,*
contig_4806	8882	4	N	N	1	*	*,4806,*
contig_6578	8863	71	N	N	7	*	*,6578,*
contig_6782	8833	23	N	N	3	*	*,6782,*
contig_2520	8825	54	N	N	6	*	2519,2520,-2519
